category,price_dh,city,district,surface_m2,rooms,bathrooms,floor,property_age_years,price_per_m2
Villa_Riad,3000000.0,Bouskoura,Bouskoura centre,300,4.0,3.0,,,10000.0
Maison,160000.0,Deroua,Toute la ville,100,6.0,4.0,,,1600.0
Maison,750000.0,Asilah,Toute la ville,700,3.0,2.0,,,1071.4285714285713
Maison,450000.0,Azilal,Toute la ville,100,5.0,1.0,,,4500.0
Maison,1600000.0,Meknès,Bourj Moulay Omar,384,6.0,3.0,,,4166.666666666667
Maison,850000.0,El Jadida,Lalla Zahra,108,4.0,1.0,,,7870.37037037037
Maison,1850000.0,Meknès,Marjane 2,100,6.0,4.0,,,18500.0
Maison,150000.0,Azilal,Toute la ville,120,3.0,0.0,,,1250.0
Bureau_Plateau,1900000.0,Marrakech,Guéliz,65,,1.0,,,29230.76923076923
Commerce,1400000.0,El Jadida,Sidi Moussa,100,,,,,14000.0
Commerce,2800000.0,Temara,Riad Oulad Mtaa,172,,,,,16279.06976744186
Commerce,2000000.0,Casablanca,Maarif,240,,,,,8333.333333333334
Commerce,300000.0,Kénitra,alliance,24,,,,,12500.0
Commerce,1400000.0,Marrakech,Allal El Fassi,62,,,,,22580.645161290322
Terrain_Ferme,800000.0,Tiznit,Toute la ville,3270,,,,,244.64831804281346
Terrain_Ferme,700000.0,Asilah,Toute la ville,1200,,,,,583.3333333333334
Terrain_Ferme,1300000.0,Khemisset,Toute la ville,203,,,,,6403.940886699507
Terrain_Ferme,1345200.0,Asilah,Toute la ville,236,,,,,5700.0
Terrain_Ferme,4600000.0,Asilah,Toute la ville,32000,,,,,143.75
Terrain_Ferme,672600.0,Asilah,Toute la ville,118,,,,,5700.0
Terrain_Ferme,3600000.0,Meknès,Marjane 2,12500,,,,,288.0
